"feature","VIP"
"x1",1.52024954726725
"x2",0.111369339140886
"x3",1.78001772710515
"x4",1.20511192897584
"x5",0.178358911191256
"x6",0.40556735663249
"x7",0.706226093379561
"x8",0.895632646552489
"x9",0.224026852513602
"x10",1.18026854034798
"x11",1.70476960959491
"x12",0.187730404950746
"x13",1.72637325759829
"x14",0.15135238014169
"x15",0.692171940716507
"x16",0.527640370916234
"x17",0.325134971444097
"x18",0.74495885191154
"x19",1.48617829454321
"x20",0.59509241134034
"x21",1.21319919922133
"x22",0.744213482881575
"x23",1.00875587141425
"x24",0.738481796981835
"x25",1.62298810120828
"x26",1.18141777953665
"x27",2.09822661594124
"x28",0.846274977877473
"x29",1.903869608499
"x30",2.05587041781256
"x31",1.09411372188423
"x32",1.62860633187114
"x33",0.13667934817048
"x34",0.344582456562002
"x35",0.950633229290295
"x36",0.213503576423523
"x37",0.864425400760413
"x38",0.346174317404544
"x39",0.821582949709103
"x40",1.04542202605119
"x41",0.679719459383576
"x42",1.01573985073978
"x43",1.85237445431807
"x44",1.7549471919383
"x45",1.76243634402787
"x46",1.08352155524043
"x47",0.430385624525461
"x48",0.305623077927321
"x49",1.76527534237447
"x50",2.11231179773239
"x51",1.86014633926003
"x52",1.89985933539523
"x53",0.367797318169042
"x54",2.22687817945947
"x55",1.85082290712868
"x56",0.783382719997045
"x57",1.89510979857832
"x58",1.74928284673671
"x59",0.283544499019879
"x60",0.113761873057664
"x61",0.793669826510269
"x62",1.14325653153404
"x63",1.06961959448999
"x64",0.948353479870171
"x65",0.525051308290213
"x66",1.0089621932217
"x67",0.158120317545782
"x68",1.68218168682689
"x69",0.469855231718823
"x70",1.97953743104666
"x71",1.56209821165192
"x72",2.10273749147088
"x73",1.80970311439174
"x74",0.623270150954346
"x75",2.0304954730145
"x76",1.96193510162887
"x77",0.335642859016981
"x78",0.349730481714425
"x79",0.447010443349339
"x80",0.808287626438675
"x81",0.798992413447818
"x82",1.36220798283101
"x83",0.610361898039862
