row ID,row m/z,row retention time,Blank_pos.mzML Peak area,S01_pos.mzML Peak area,S02_pos.mzML Peak area,S03_pos.mzML Peak area,S04_pos.mzML Peak area,S05_pos.mzML Peak area,S06_pos.mzML Peak area,S07_pos.mzML Peak area,S08_pos.mzML Peak area,S09_pos.mzML Peak area,S10_pos.mzML Peak area,S11_pos.mzML Peak area,S12_pos.mzML Peak area,S13_pos.mzML Peak area,S14_pos.mzML Peak area,S15_pos.mzML Peak area,S16_pos.mzML Peak area,S17_pos.mzML Peak area,S18_pos.mzML Peak area,S19_pos.mzML Peak area,S20_pos.mzML Peak area,S21_pos.mzML Peak area,S22_pos.mzML Peak area,S23_pos.mzML Peak area,S24_pos.mzML Peak area,S26_pos.mzML Peak area,S27_pos.mzML Peak area,S28_pos.mzML Peak area,S29_pos.mzML Peak area,S30_pos.mzML Peak area,S31_pos.mzML Peak area,S32_pos.mzML Peak area,S34_pos.mzML Peak area,S35_pos.mzML Peak area,S36_pos.mzML Peak area,S37_pos.mzML Peak area,S38_pos.mzML Peak area,S39_pos.mzML Peak area,S40_pos.mzML Peak area,S41_pos.mzML Peak area,S42_pos.mzML Peak area,S43_pos.mzML Peak area,S44_pos.mzML Peak area,S45_pos.mzML Peak area,S46_pos.mzML Peak area,S47_pos.mzML Peak area,S48_pos.mzML Peak area,S49_pos.mzML Peak area,S50_pos.mzML Peak area,
9492,61.00787729691855,17.037668,302877.47,230325.66,211453.7,198622.1,191055.95,217589.03,221748.27,208908.33,215122.67,184671.52,206179.66,176046.84,212319.38,211414.53,198210.22,214379.6,210755.39,207927.64,188083.42,219691.28,199975.73,228139.62,240373.36,215843.78,218690.23,237898.05,201476.6,221274.47,214470.4,218458.58,231239.38,185085.72,222925.69,242562.12,216155.83,207324.4,219542.5,214837.73,207746.75,219566.36,227601.0,218672.38,218225.98,211782.94,201262.7,237187.3,190727.06,206169.19,187181.16,
669,61.00798926678738,0.52917826,798.01074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4520.4224,0,13299.452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1186.6045,0,0,737348.3,723781.5,596028.06,0,0,1254.1436,0,0,0,0,
8838,64.01650445676961,16.960972,1.5742737E7,1.2421171E7,1.1780891E7,1.598024E7,1.7395214E7,1.3747083E7,1.3354659E7,1.3655037E7,1.1613466E7,1.1933933E7,1.1710389E7,1.285677E7,1.1509433E7,1.3141078E7,1.1814352E7,1.5450506E7,1.2714186E7,1.364542E7,1.3649126E7,1.2299553E7,1.2046724E7,1.170867E7,1.4123902E7,1.3298154E7,1.803874E7,9586324.0,1.2845794E7,1.3243043E7,1.2727573E7,1.3283915E7,1.2250208E7,1.5609064E7,1.0442261E7,1.3455403E7,1.3548603E7,1.2902435E7,1.4943867E7,9307371.0,1.3126637E7,1.4015866E7,1.4458641E7,8558763.0,1.6425141E7,1.2284337E7,1.2657584E7,1.2432662E7,1.1778381E7,1.2574892E7,1.1345688E7,
8651,64.0165094873065,16.596018,1147425.8,397583.34,2916307.5,687017.44,1292102.9,188481.6,1235698.8,6031958.0,2486736.5,598905.75,207647.31,1258340.5,526273.9,2781179.2,3389404.2,1616207.8,3495946.8,634414.3,2040065.2,3083659.5,620042.9,2487054.5,562583.9,2209891.8,465957.62,3573437.2,3817976.2,2468370.8,1491103.6,1020826.75,803251.75,629747.56,1004241.25,428483.53,213465.97,1638608.9,1020764.1,388631.62,1890663.8,3614324.0,4761890.5,1250985.2,590541.5,2851080.5,1617202.5,787385.8,2482280.5,424771.94,1746755.2,
8752,64.01650929788602,16.772211,525199.5,1484202.8,1193403.4,624486.2,948888.0,463215.22,1369399.8,613441.44,1372492.1,1068852.6,2168119.5,1478283.2,3204167.0,1242758.1,857282.44,809069.06,764985.4,882936.44,238892.81,1974236.8,919014.3,860941.3,374663.2,1780592.5,640653.7,763001.4,1180659.5,383675.06,1862782.0,1431886.5,328494.8,373086.0,778055.3,595034.0,1727014.8,689125.06,544737.25,1204984.6,225616.88,347645.12,1661941.1,831861.6,1482860.5,610807.2,704868.06,587184.9,774546.7,250198.3,1024587.25,
8316,64.01651158469781,16.369516,1070762.8,794411.0,714018.9,1313914.6,2066833.4,1294171.0,556973.7,1365687.1,2491895.5,226711.25,3004626.2,2559100.0,320609.78,931881.7,1005427.8,688490.25,545418.6,180385.06,532070.75,407521.88,353290.06,871525.94,983019.94,1585106.4,1131038.6,2402780.5,2050701.9,435751.4,1583740.2,325065.12,527733.44,3110775.8,1084582.4,341074.53,178286.28,799608.06,500287.5,208981.9,910451.0,1962473.5,379941.03,806435.94,770575.2,1283985.6,260779.06,648165.0,2134707.5,405065.88,398228.44,
7641,64.01651105688802,15.754411,1296762.1,2179942.5,973693.44,1049570.5,421263.6,2408942.5,981301.5,1575971.1,2086564.9,600021.25,2420685.2,1920490.2,1539525.0,1112347.4,1636983.9,608252.8,978110.94,406136.7,417400.1,897552.94,1003427.5,1111489.5,1358643.6,3705625.8,2860225.2,1503444.0,1175759.9,991854.4,197872.4,1687892.9,758520.0,1370749.0,2032919.5,1163649.2,209504.75,1450760.1,786451.5,1427770.6,1312852.0,1082205.6,473756.62,314198.9,2475330.2,1049388.6,1780689.6,3477180.8,674661.9,837975.0,1381999.8,
8009,64.01651585496079,16.09447,243553.19,436927.03,255881.89,389458.56,205991.94,337149.25,256497.69,138557.62,382510.34,201256.11,540136.7,636387.2,286063.53,214711.22,155369.38,889374.56,511665.28,288240.16,714971.2,455102.75,725878.56,698880.75,326093.4,289270.03,726631.25,251171.45,759687.7,265328.6,256758.4,258108.31,365544.47,2040321.8,381691.53,322637.97,169311.03,410738.75,140505.75,170956.52,2985237.0,489155.94,1872919.5,211131.08,236359.4,567656.8,805194.4,1085307.2,361942.66,286606.06,189382.56,
6115,67.05492073380526,15.0014105,95187.44,91154.35,99286.97,91608.57,102963.12,108820.97,123201.44,99023.805,106149.53,76718.484,110927.664,102983.35,97163.26,105078.15,93167.02,122894.17,113569.414,115347.44,105683.38,74159.06,106312.086,100285.1,92430.99,107239.74,108494.805,106470.96,94706.336,94861.58,103721.805,111010.195,102021.586,109462.875,99870.51,95900.54,109153.85,109498.71,87851.07,83171.266,86008.15,96909.9,98922.88,98250.516,116337.48,113064.54,116176.25,112088.664,110122.4,102131.64,82014.71,
9421,68.99398170995867,17.034916,4423.158,47770.684,110439.04,130664.055,104601.28,135364.44,122189.48,130223.09,108617.836,116072.9,92708.01,117044.516,133803.05,132992.17,111713.336,140548.2,100166.85,116042.39,136490.88,5469.9966,110824.52,39539.906,129097.45,117412.5,114933.625,62265.38,126038.02,41062.543,122911.35,126922.32,108928.75,128726.445,144087.17,86688.875,98627.71,120055.14,74522.234,93197.625,140582.9,121882.21,95936.26,132069.62,124324.414,103996.914,130503.27,128668.63,112673.55,117775.33,101611.914,
